111.31.95.41:8443#CN [40.79ms 5.72Mbps]
91.110.174.210:8443#HK [优选高速 52.76ms 20.52Mbps]
185.92.47.93:443#HK [54.76ms 0.5Mbps]
43.131.247.123:8443#KR [61.38ms 0.51Mbps]
43.128.130.43:443#KR [62.21ms 3.44Mbps]
91.110.174.222:8443#HK [优选高速 62.41ms 21.33Mbps]
96.9.228.241:443#HK [62.81ms 0.03Mbps]
191.223.208.119:443#HK [63.14ms 5.89Mbps]
82.158.230.241:443#HK [63.14ms 0.32Mbps]
43.131.225.115:443#KR [64.2ms 0.0Mbps]
43.129.80.179:8443#HK [64.83ms 1.37Mbps]
43.247.132.74:8443#HK [64.99ms 0.03Mbps]
91.110.174.169:8443#HK [优选高速 65.71ms 20.24Mbps]
38.55.199.128:443#HK [65.99ms 0.08Mbps]
45.93.30.168:443#KR [68.83ms 0.37Mbps]
43.167.224.16:443#JP [69.14ms 0.4Mbps]
47.239.220.3:443#JP [71.33ms 0.0Mbps]
43.167.11.157:2083#JP [72.96ms 4.38Mbps]
43.165.189.163:443#JP [74.16ms 0.33Mbps]
43.165.170.139:443#JP [74.58ms 1.12Mbps]
120.26.92.186:8443#CN [76.2ms 3.16Mbps]
43.167.9.109:443#JP [79.88ms 0.56Mbps]
83.147.15.253:443#TW [80.75ms 0.3Mbps]
45.202.247.198:8443#MO [85.0ms 2.6Mbps]
151.242.165.86:2087#JP [85.77ms 4.94Mbps]
147.79.20.197:443#JP [86.9ms 4.74Mbps]
54.249.38.175:443#JP [87.32ms 0.44Mbps]
45.202.247.198:443#MO [87.38ms 7.63Mbps]
147.79.20.129:443#JP [87.65ms 6.68Mbps]
188.166.209.200:443#SG [90.86ms 0.36Mbps]
157.245.148.160:443#SG [92.4ms 0.43Mbps]
203.69.11.80:443#TW [92.7ms 6.36Mbps]
161.118.210.121:443#SG [92.71ms 2.45Mbps]
119.28.162.39:8443#KR [优选高速 92.89ms 11.35Mbps]
139.59.114.19:443#SG [93.03ms 0.42Mbps]
129.212.239.183:443#SG [93.56ms 0.39Mbps]
68.183.231.228:443#SG [93.67ms 0.35Mbps]
168.144.39.64:443#SG [93.72ms 0.19Mbps]
43.134.174.114:443#SG [93.79ms 0.1Mbps]
68.183.183.54:443#SG [93.84ms 0.45Mbps]
152.42.246.237:443#SG [94.29ms 0.26Mbps]
61.245.11.45:443#PH [110.04ms 0.46Mbps]
168.110.112.196:8443#KR [111.03ms 7.12Mbps]
172.232.246.133:8443#ID [115.18ms 1.9Mbps]
152.67.210.234:443#KR [117.49ms 0.35Mbps]
168.110.110.132:2053#KR [118.22ms 4.04Mbps]
47.80.57.116:443#KR [118.66ms 0.53Mbps]
114.32.9.249:443#TW [118.73ms 5.82Mbps]
109.66.88.118:8443#CN [118.83ms 0.0Mbps]
211.49.57.134:443#KR [119.41ms 0.0Mbps]
45.150.128.159:443#TH [132.89ms 4.87Mbps]
139.84.146.103:8443#IN [134.15ms 5.16Mbps]
45.150.131.246:443#TH [135.94ms 0.18Mbps]
64.227.174.213:2053#IN [137.16ms 0.39Mbps]
65.20.85.14:443#IN [138.93ms 5.74Mbps]
43.133.110.81:443#TH [146.3ms 0.24Mbps]
5.253.28.110:443#IN [147.8ms 0.32Mbps]
157.20.27.35:443#IN [147.97ms 0.38Mbps]
139.84.139.219:443#IN [148.17ms 6.61Mbps]
80.225.216.192:443#IN [150.42ms 5.87Mbps]
142.249.60.51:443#TW [153.32ms 0.0Mbps]
5.253.29.83:443#IN [153.91ms 0.32Mbps]
89.106.207.108:443#NL [154.53ms 7.66Mbps]
5.253.28.109:443#IN [154.61ms 0.56Mbps]
162.211.230.89:2053#NL [优选高速 154.74ms 9.47Mbps]
181.214.250.86:443#IN [159.02ms 4.98Mbps]
45.62.114.251:443#US [159.87ms 1.14Mbps]
69.63.199.128:443#US [160.81ms 5.58Mbps]
179.255.96.82:443#US [161.4ms 5.7Mbps]
64.186.241.132:443#US [161.62ms 2.21Mbps]
154.17.229.156:443#US [161.87ms 6.24Mbps]
64.118.159.219:443#DE [162.09ms 6.23Mbps]
144.34.224.21:443#US [162.35ms 4.3Mbps]
64.186.238.108:8443#US [166.18ms 5.78Mbps]
192.69.92.245:443#US [167.56ms 5.62Mbps]
154.21.81.252:443#US [167.63ms 5.91Mbps]
179.255.152.239:443#US [167.96ms 4.84Mbps]
45.147.48.147:443#DE [优选高速 172.33ms 9.7Mbps]
45.86.228.104:443#AE [173.37ms 0.21Mbps]
95.174.68.209:8443#AE [178.84ms 1.32Mbps]
188.208.110.35:2096#AE [184.57ms 0.27Mbps]
46.250.241.49:443#AU [186.0ms 0.18Mbps]
82.139.242.174:443#DE [优选高速 188.46ms 8.17Mbps]
13.140.25.68:443#DE [188.67ms 1.25Mbps]
185.230.44.62:443#DE [190.54ms 0.42Mbps]
185.233.107.66:8443#DE [190.78ms 0.12Mbps]
170.64.175.13:443#AU [190.84ms 3.87Mbps]
170.64.232.210:443#AU [191.23ms 0.3Mbps]
64.226.88.144:443#DE [191.37ms 0.17Mbps]
85.237.70.247:443#DE [优选高速 191.82ms 9.29Mbps]
185.250.180.68:443#DE [192.21ms 3.72Mbps]
185.180.196.64:443#NL [194.12ms 0.32Mbps]
128.140.94.162:8443#DE [194.18ms 0.22Mbps]
170.64.245.159:443#AU [194.42ms 3.84Mbps]
147.90.89.186:443#NL [195.29ms 0.35Mbps]
123.51.23.113:443#AU [195.57ms 0.24Mbps]
45.134.21.8:8443#NL [196.53ms 0.19Mbps]
185.157.245.44:443#FR [196.55ms 0.33Mbps]
141.227.151.68:2053#CH [196.64ms 0.24Mbps]
2.27.169.51:8443#NL [197.38ms 0.2Mbps]
194.87.200.203:443#NL [197.83ms 0.3Mbps]
45.66.10.87:2053#NL [198.01ms 0.26Mbps]
170.64.237.192:443#AU [198.85ms 0.22Mbps]
193.181.215.4:8443#DK [198.87ms 3.28Mbps]
146.70.233.51:2083#CH [199.15ms 0.29Mbps]
192.9.175.224:443#AU [200.82ms 3.39Mbps]
194.87.134.130:443#NL [200.95ms 0.25Mbps]
89.42.142.72:8443#NL [201.16ms 0.18Mbps]
31.59.121.199:2053#FR [202.8ms 4.41Mbps]
139.84.204.218:443#AU [202.91ms 4.58Mbps]
193.180.211.23:443#DK [203.46ms 2.48Mbps]
85.237.207.72:443#TW [203.53ms 0.26Mbps]
31.59.103.95:2053#FR [203.87ms 5.28Mbps]
193.181.209.232:8443#DK [204.12ms 2.93Mbps]
85.237.206.231:443#TW [204.81ms 0.35Mbps]
207.211.157.214:443#AU [206.2ms 0.33Mbps]
185.237.225.95:443#CH [206.46ms 0.14Mbps]
31.56.176.37:2053#FR [206.9ms 3.94Mbps]
146.70.71.157:443#CH [207.96ms 0.22Mbps]
79.132.141.152:443#CH [208.34ms 0.12Mbps]
51.161.131.192:443#AU [208.64ms 0.0Mbps]
146.59.19.208:8443#PL [209.27ms 0.08Mbps]
5.181.2.41:8443#HR [210.02ms 0.46Mbps]
193.180.215.69:443#DK [210.51ms 1.97Mbps]
169.40.1.72:443#LV [211.74ms 0.22Mbps]
188.253.22.211:443#LV [212.93ms 0.71Mbps]
13.140.29.253:443#BG [213.02ms 3.47Mbps]
45.39.255.27:2053#FR [213.75ms 2.5Mbps]
188.166.169.50:443#GB [214.03ms 0.08Mbps]
159.65.82.25:2096#GB [214.15ms 0.27Mbps]
5.61.89.87:443#FI [214.28ms 0.43Mbps]
176.97.74.41:2053#EE [214.58ms 0.16Mbps]
31.58.76.50:8443#FR [214.65ms 1.47Mbps]
159.65.82.25:443#GB [215.04ms 0.18Mbps]
194.60.87.28:2096#FR [215.1ms 3.02Mbps]
167.104.216.173:8443#FR [215.27ms 0.18Mbps]
144.126.193.181:2096#GB [215.37ms 0.21Mbps]
96.9.214.92:8443#GB [215.42ms 0.34Mbps]
165.232.36.137:443#GB [215.42ms 0.12Mbps]
45.137.150.223:443#FR [215.54ms 0.26Mbps]
104.248.161.136:443#GB [215.8ms 0.27Mbps]
5.34.209.139:2053#LV [215.99ms 2.83Mbps]
217.60.63.14:2053#FR [216.43ms 0.0Mbps]
80.66.78.207:443#SE [216.63ms 0.86Mbps]
144.126.199.79:2087#GB [216.67ms 0.29Mbps]
188.255.163.41:443#PL [217.55ms 0.0Mbps]
138.68.166.125:443#GB [217.6ms 0.24Mbps]
159.65.91.116:443#GB [217.67ms 0.18Mbps]
89.125.169.51:8443#FI [218.32ms 0.25Mbps]
121.127.33.246:443#SE [218.85ms 0.21Mbps]
5.61.90.135:443#FI [219.53ms 0.13Mbps]
193.233.231.32:443#RU [220.6ms 3.75Mbps]
